"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM178B",0,1.64315735380236,0.813,0.03,0,"Early Erythroid precursors","FAM178B"
"KIAA0101",0,1.64303220647575,0.952,0.136,0,"Early Erythroid precursors","KIAA0101"
"PRDX2",0,1.59412399323044,0.973,0.506,0,"Early Erythroid precursors","PRDX2"
"TMEM14C",0,1.50904039832202,0.961,0.237,0,"Early Erythroid precursors","TMEM14C"
"HIST1H4C",0,1.50806466760617,0.879,0.287,0,"Early Erythroid precursors","HIST1H4C"
"ATPIF1",0,1.49372279116393,0.978,0.507,0,"Early Erythroid precursors","ATPIF1"
"APOC1",0,1.48827270138462,0.795,0.025,0,"Early Erythroid precursors","APOC1"
"HMGA1",0,1.46741165325903,0.967,0.228,0,"Early Erythroid precursors","HMGA1"
"TUBB",0,1.41920751251619,0.982,0.372,0,"Early Erythroid precursors","TUBB"
"MPC2",0,1.38762402524624,0.954,0.286,0,"Early Erythroid precursors","MPC2"
"SYNGR1",0,1.37635688191361,0.843,0.088,0,"Early Erythroid precursors","SYNGR1"
"RP11-620J15.3",0,1.35567992088339,0.923,0.108,0,"Early Erythroid precursors","RP11-620J15.3"
"TUBA1B",0,1.34389725779454,0.985,0.509,0,"Early Erythroid precursors","TUBA1B"
"BLVRB",0,1.3427140027791,0.948,0.338,0,"Early Erythroid precursors","BLVRB"
"CA1",0,1.3113259487113,0.913,0.344,0,"Early Erythroid precursors","CA1"
"HSPD1",0,1.29667084810088,0.957,0.236,0,"Early Erythroid precursors","HSPD1"
"HSP90AA1",0,1.28288515339912,0.981,0.61,0,"Early Erythroid precursors","HSP90AA1"
"REXO2",0,1.2825844992709,0.908,0.18,0,"Early Erythroid precursors","REXO2"
"KCNH2",0,1.2662221929031,0.8,0.034,0,"Early Erythroid precursors","KCNH2"
"HMGB1",0,1.26296785110216,0.999,0.757,0,"Early Erythroid precursors","HMGB1"
"NME4",0,1.24282181139734,0.923,0.17,0,"Early Erythroid precursors","NME4"
"AHSP",0,1.20897875883696,0.92,0.381,0,"Early Erythroid precursors","AHSP"
"RAN",0,1.16984581958433,0.981,0.467,0,"Early Erythroid precursors","RAN"
"RPL22L1",0,1.16824691922636,0.939,0.316,0,"Early Erythroid precursors","RPL22L1"
"KLF1",0,1.16426526938376,0.885,0.118,0,"Early Erythroid precursors","KLF1"
"TMEM14B",0,1.13524438672938,0.952,0.374,0,"Early Erythroid precursors","TMEM14B"
"DUT",0,1.13025047615545,0.967,0.336,0,"Early Erythroid precursors","DUT"
"H2AFZ",0,1.09197215306943,0.989,0.525,0,"Early Erythroid precursors","H2AFZ"
"TYMS",0,1.06292275350814,0.871,0.095,0,"Early Erythroid precursors","TYMS"
"AKR1C3",0,1.05625218234699,0.781,0.05,0,"Early Erythroid precursors","AKR1C3"
"STMN1",0,1.05478373114744,0.976,0.235,0,"Early Erythroid precursors","STMN1"
