population,donor,Chromium,CyTOF,Flow
CD4.CCR7pos,A,38.66666666,29.02676775,22.93329306
CD4.CCR7pos,B,43.45696291,52.87062525,29.83695577
CD4.CCR7pos,C,54.04530744,46.26976285,37.54420297
CD4.CCR7pos,C1,54.72312702,NA,NA
CD4.CCR7pos,C2,53.3762058,NA,NA
CD4.CCR7pos,Ck,41.98312236,NA,40.36655818
CD4.CCR7pos,E,46.44859813,NA,14.79962133
CD4.CCR7pos,F,43.87803716,NA,30.26621272
CD4.CCR7pos,G,37.63213531,NA,12.17653923
CD4.CCR7pos,H,36.06263983,44.68739324,38.72965039
CD4.CCR7pos,J,52.63157895,58.31355798,52.92022023
CD4.CCR7pos,K,38.65913646,NA,21.04152873
CD4.CCR7pos,L,45.57446809,NA,46.22062923
CD4.CCR7pos,M,44.75873543,NA,19.17058986
CD4.CCR7pos,N,26.37322664,NA,26.09710823
CD4.CCR7pos,O,26.45998559,25.45931759,20.50523833
CD4.CCR7pos,P,57.36196319,NA,23.16905425
CD4.CCR7pos,Q,28.63340563,NA,11.02936631
CD4.CCR7pos,R,36.90696242,NA,24.56444108
CD4.CCR7pos,S,45.88719153,NA,42.40352918
CD4.CCR7pos,S1,46.80337756,NA,NA
CD4.CCR7pos,S1k,39.12248629,NA,NA
CD4.CCR7pos,S2,45.01718213,NA,NA
CD4.CCR7pos,S6k,42.26998492,NA,NA
CD4.CCR7pos,Sk,41.73179119,NA,27.59107814
CD4.CCR7pos,T,34.29245283,27.47737294,18.32154712
CD4.CCR7pos,U,31.38969874,50.64678405,46.74193131
CD4.CCR7pos,W,46.80511182,NA,48.68864617
CD4.CCR7neg,A,18.09523809,23.92077982,29.86381361
CD4.CCR7neg,B,30.86074178,7.864726701,12.61411018
CD4.CCR7neg,C,26.05177993,20.03458498,20.67497511
CD4.CCR7neg,C1,26.71009773,NA,NA
CD4.CCR7neg,C2,25.40192927,NA,NA
CD4.CCR7neg,Ck,26.79324894,NA,29.1876236
CD4.CCR7neg,E,24.11214953,NA,8.456926475
CD4.CCR7neg,F,21.53406384,NA,17.01300299
CD4.CCR7neg,G,25.15856237,NA,22.39687007
CD4.CCR7neg,H,19.32885906,8.677827127,12.74406192
CD4.CCR7neg,J,14.70985155,4.208194906,4.896237305
CD4.CCR7neg,K,29.55000911,NA,25.57627458
CD4.CCR7neg,L,36.63829787,NA,14.53205894
CD4.CCR7neg,M,35.10815307,NA,22.13375796
CD4.CCR7neg,N,22.59003273,NA,13.04952429
CD4.CCR7neg,O,20.18745493,16.03435934,14.22989654
CD4.CCR7neg,P,28.42535787,NA,18.94018184
CD4.CCR7neg,Q,27.76572667,NA,12.45131376
CD4.CCR7neg,R,13.61675909,NA,9.508350467
CD4.CCR7neg,S,32.37367803,NA,15.31510568
CD4.CCR7neg,S1,31.24246079,NA,NA
CD4.CCR7neg,S1k,19.56124314,NA,NA
CD4.CCR7neg,S2,33.44788087,NA,NA
CD4.CCR7neg,S6k,19.90950227,NA,NA
CD4.CCR7neg,Sk,19.84995312,NA,14.77238874
CD4.CCR7neg,T,22.97169811,16.05941054,15.47842402
CD4.CCR7neg,U,41.8367347,16.8163852,21.92700478
CD4.CCR7neg,W,14.27050053,NA,4.035194175
CD4,A,56.76190477,52.94754758,52.92837533
CD4,B,74.31770469,60.73535195,42.53695161
CD4,C,80.09708739,66.30434783,58.30672572
CD4,C1,81.43322475,NA,NA
CD4,C2,78.77813504,NA,NA
CD4,Ck,68.77637131,NA,69.63826905
CD4,E,70.56074767,NA,23.25654781
CD4,F,65.412101,NA,47.43508758
CD4,G,62.79069768,NA,34.60086485
CD4,H,55.39149889,53.34813803,51.50093408
CD4,J,67.34143051,62.52175289,57.8206097
CD4,K,68.20914557,NA,46.71096192
CD4,L,82.21276596,NA,60.78853047
CD4,M,79.86688852,NA,41.3251177
CD4,N,48.96325937,NA,39.19966885
CD4,O,46.64744052,41.46981627,34.78018693
CD4,P,85.78732106,NA,42.14446271
CD4,Q,56.39913232,NA,23.48686244
CD4,R,50.52372151,NA,34.10345201
CD4,S,78.26086956,NA,57.77002133
CD4,S1,78.04583835,NA,NA
CD4,S1k,58.68372943,NA,NA
CD4,S2,78.46506301,NA,NA
CD4,S6k,62.17948718,NA,NA
CD4,Sk,61.5817443,NA,42.52395276
CD4,T,57.26415094,43.51357624,33.81440323
CD4,U,73.22643344,67.37333812,68.68013961
CD4,W,61.07561234,NA,52.79013844
CD8.CCR7neg,A,34.28571428,32.49265047,37.17652343
CD8.CCR7neg,B,10.63680896,16.71254424,39.80938924
CD8.CCR7neg,C,8.65695793,16.62549407,24.24382875
CD8.CCR7neg,C1,8.143322475,NA,NA
CD8.CCR7neg,C2,9.163987139,NA,NA
CD8.CCR7neg,Ck,27.42616034,NA,17.69491895
CD8.CCR7neg,E,12.05607477,NA,53.48690439
CD8.CCR7neg,F,24.39256789,NA,39.09184134
CD8.CCR7neg,G,6.765327695,NA,44.4368179
CD8.CCR7neg,H,34.09395973,22.25828493,29.56818788
CD8.CCR7neg,J,7.354925777,8.036703053,12.58190153
CD8.CCR7neg,K,29.05811623,NA,43.98780469
CD8.CCR7neg,L,13.70212766,NA,26.31620868
CD8.CCR7neg,M,12.47920133,NA,39.96815287
CD8.CCR7neg,N,50.12731902,NA,51.14707233
CD8.CCR7neg,O,39.43763519,30.35075161,38.63254724
CD8.CCR7neg,P,4.294478528,NA,42.52860066
CD8.CCR7neg,Q,39.04555315,NA,50.66460587
CD8.CCR7neg,R,38.63216266,NA,32.02755835
CD8.CCR7neg,S,11.92714453,NA,20.2200892
CD8.CCR7neg,S1,12.3039807,NA,NA
CD8.CCR7neg,S1k,37.29433273,NA,NA
CD8.CCR7neg,S2,11.56930126,NA,NA
CD8.CCR7neg,S6k,33.89894419,NA,NA
CD8.CCR7neg,Sk,34.47952486,NA,29.30452916
CD8.CCR7neg,T,14.38679245,17.93919703,28.36628662
CD8.CCR7neg,U,12.48785228,10.40244341,14.9954755
CD8.CCR7neg,W,14.11075612,NA,12.951726
CD8.CCR7pos,A,8.952380953,6.591366239,4.050741726
CD8.CCR7pos,B,15.04548635,16.75186787,10.70246159
CD8.CCR7pos,C,11.24595469,7.732213439,6.756617571
CD8.CCR7pos,C1,10.42345277,NA,NA
CD8.CCR7pos,C2,12.05787781,NA,NA
CD8.CCR7pos,Ck,3.797468354,NA,4.776623741
CD8.CCR7pos,E,17.38317757,NA,14.51562007
CD8.CCR7pos,F,10.19533111,NA,7.163542393
CD8.CCR7pos,G,30.44397463,NA,10.81748919
CD8.CCR7pos,H,10.51454139,16.24530236,12.2556712
